序号,数据点名称,X(数学坐标),Y(数学坐标),z
44,44-24,38431297.32523116,3739112.798491142,-114.71154874913096
45,45-25,38431293.725855395,3739102.527395853,-119.4950032977569
46,46-26,38431286.85584462,3739112.743534091,-115.32612521447516
47,47-27,38431297.208878726,3739139.22719474,-136.87982797939344
48,48-28,38431281.49468476,3739118.048562448,-122.4900908406303
49,49-29,38431288.849158816,3739124.1839688392,-124.490372057409
50,50-30,38431293.92663743,3739146.6587701407,-118.72608068942984
51,51-31,38431296.746577434,3739116.056765001,-127.78576961931597
52,52-32,38431285.02396076,3739122.883664911,-131.80079305920873
53,53-33,38431294.38917829,3739122.0867706854,-133.46441046938116
54,54-34,38431284.54583254,3739104.712943559,-140.08198736488097
55,55-35,38431287.78664451,3739133.6636797586,-119.55670400712195
56,56-36,38431297.73453918,3739142.4371146355,-123.49309446454825
57,57-37,38431286.39965482,3739146.0922297942,-130.85573528197287
58,58-38,38431283.07658389,3739131.8178518056,-134.0968603715486
59,59-39,38431287.272167,3739130.184327328,-123.16849067573874
60,60-40,38431285.97707825,3739103.3101160754,-131.92100091580323
61,61-41,38431292.10101048,3739126.373093817,-138.7249275220013
62,62-42,38431283.68137365,3739116.423379576,-113.2400042867327
63,63-43,38431285.59350698,3739128.6276130374,-115.41338023253479
64,64-44,38431294.15296171,3739108.979576657,-111.96729042005713
65,65-45,38431287.48779126,3739117.179453937,-131.87834015878053
66,66-46,38431280.774372466,3739104.6334450245,-113.56251780613343
67,67-47,38431284.549343064,3739125.949476806,-128.1660639795037
68,68-48,38431281.52987184,3739117.02732977,-119.40502344271513
69,69-49,38431284.4602912,3739101.755853208,-129.84725577347027
70,70-50,38431286.64884503,3739120.9242731878,-121.68088332821215
71,71-51,38431296.841862485,3739115.16634259,-130.71121409833185
72,72-52,38431290.647832245,3739140.405991538,-118.11068503694764
73,73-53,38431284.67808969,3739134.86080056,-130.72121080780724
74,74-54,38431294.131937474,3739128.6528006564,-113.54136218366213
75,75-55,38431286.444656454,3739145.207330474,-123.95952498825643
76,76-56,38431281.60144453,3739118.4852757636,-113.26848162662591
77,77-57,38431288.436021976,3739120.9425544804,-133.4080526946382
78,78-58,38431294.75381028,3739102.8172632586,-127.61493291696605
79,79-59,38431289.29673278,3739143.263221642,-125.60743279688003
80,80-60,38431286.73070674,3739104.64365743,-121.79089117186359
81,81-61,38431289.908277206,3739124.073579504,-122.38325707337309
82,82-62,38431297.928131156,3739108.3920069737,-113.50669158703427
83,83-63,38431294.433376156,3739115.2569191353,-115.09575329432724
84,84-64,38431290.964912094,3739137.8693197253,-117.52856947235612
85,85-65,38431297.38307378,3739108.7859771224,-137.86684162127727
86,86-66,38431297.136861615,3739114.747990888,-122.95661042299895
87,87-67,38431296.61291358,3739137.6069492055,-138.2625235390863
88,88-68,38431291.50941424,3739146.6346211475,-124.39708012512074
89,89-69,38431286.66886968,3739123.791523559,-118.46517103679857
90,90-70,38431288.019375585,3739131.5960225197,-121.71017296046737
91,91-71,38431291.33333667,3739141.06982983,-130.1945845902449
92,92-72,38431285.41979735,3739123.4694221728,-131.40287253613258
93,93-73,38431283.0029571,3739129.6287564156,-138.45665585455555
94,94-74,38431297.35963663,3739103.464448758,-132.9136739001806
95,95-75,38431290.94381426,3739129.957356441,-136.97955447951415
96,96-76,38431296.85870428,3739123.994694117,-139.09758460566297
97,97-77,38431293.56396028,3739122.9297372727,-119.34340813781479
98,98-78,38431295.36091339,3739112.196740918,-126.332082921672
99,99-79,38431295.23933064,3739125.6824513148,-140.4576966755986
43,43-23,38431240.67908257,3739183.3970271135,-137.160206932683
44,44-24,38431166.04844844,3739017.6400149823,-112.20496889646753
45,45-25,38431354.07018856,3739203.497206818,-114.00272930047461
46,46-26,38431351.6332294,3739199.0052268286,-134.8075761665305
47,47-27,38431298.77214404,3739145.6529713753,-130.31299727816813
48,48-28,38431389.311837,3739125.5128590865,-139.59744304100343
49,49-29,38431204.303470686,3739226.880703228,-126.94254423696063
50,50-30,38431217.154181816,3739230.4466295503,-120.78357189674142
51,51-31,38431191.1674714,3739144.080581588,-124.16867330190821
52,52-32,38431430.720039725,3739148.4768185434,-139.29902804630487
53,53-33,38431297.88070195,3739211.7764940457,-117.72025768863146
54,54-34,38431195.38217659,3739037.8033552337,-140.19976511552377
55,55-35,38431452.273228616,3739104.713204965,-117.7714402568772
56,56-36,38431335.813227594,3739062.01770217,-123.24730787661831
57,57-37,38431433.81194157,3739223.3667214606,-134.5966784143675
58,58-38,38431246.54327109,3739085.5229356093,-139.04945410654463
59,59-39,38431319.89680601,3739173.7190067763,-139.68272006188894
60,60-40,38431485.64567317,3739060.5822916836,-128.05966790969507
61,61-41,38431279.46562609,3739107.0524565578,-129.1803447933202
62,62-42,38431202.30255087,3739154.7812143737,-120.79425981058172
63,63-43,38431289.36638671,3739215.845020793,-132.47399958612306
64,64-44,38431495.62271592,3739007.1764459307,-131.12318887372695
65,65-45,38431222.34147701,3739137.5160576217,-129.92527576778556
66,66-46,38431475.80195547,3739119.9487593593,-122.54113923610038
67,67-47,38431168.42619046,3739085.468722968,-118.70732540017242
68,68-48,38431377.93368122,3739074.020590146,-136.86635543841024
69,69-49,38431081.00563851,3739132.487858239,-121.3764736989054
70,70-50,38431230.80076367,3739032.828590223,-126.59618993898685
71,71-51,38431482.34109256,3739041.121714215,-116.94946855554429
72,72-52,38431493.92094228,3739081.3653607373,-139.96040728722136
73,73-53,38431462.421791166,3739064.463752191,-131.43132859873486
74,74-54,38431274.15863943,3739012.6104034856,-135.7342275685239
75,75-55,38431424.50895153,3739125.8015464894,-111.71911640355705
76,76-56,38431153.49953727,3739157.363307993,-121.77702292830904
77,77-57,38431154.45122634,3739208.2404890107,-130.823752117326
78,78-58,38431227.29411787,3739195.1135096634,-124.35244340110896
79,79-59,38431477.53995518,3739049.8960084226,-134.12171696832735
80,80-60,38431481.073848404,3739096.863711966,-118.85209337458892
81,81-61,38431493.055444255,3739150.670401788,-131.68682753354344
82,82-62,38431111.41420259,3739169.724551849,-140.40783307241713
83,83-63,38431095.510270305,3739242.466756235,-127.59054439315297
84,84-64,38431405.0875001,3739004.1370737446,-123.31827015336962
85,85-65,38431291.79402305,3739153.388520371,-116.25173959308219
86,86-66,38431088.37828565,3739133.0993167255,-120.18435862251695
87,87-67,38431257.154858634,3739077.124137394,-112.05006131701978
88,88-68,38431168.6326939,3739125.773103246,-129.53173566836375
89,89-69,38431269.2881951,3739166.7169292197,-124.15091580364644
90,90-70,38431268.40977864,3739156.648066589,-126.55596822883828
91,91-71,38431102.36981837,3739100.6291784616,-138.35230973026276
92,92-72,38431163.879339114,3739196.3297604145,-136.77108600429037
93,93-73,38431382.4570183,3739028.5632798844,-116.84801298143364
94,94-74,38431280.72081287,3739119.9461267143,-121.04184712409881
95,95-75,38431251.37079367,3739232.7146328115,-118.84614018011565
96,96-76,38431426.26698461,3739071.1725447695,-136.46991775361187
97,97-77,38431466.43751509,3739054.0062671434,-117.0389546166247
98,98-78,38431222.01425652,3739103.506320313,-126.57566453624922
99,99-79,38431309.430165105,3739147.697416092,-118.78304039964596
43,43-23,38431321.97144835,3738363.271898721,-125.21426220038936
44,44-24,38431399.64088943,3737481.2270230916,-117.49027795124309
45,45-25,38430234.1658658,3737689.168939459,-181.43305087787036
46,46-26,38431486.41622757,3738458.6231361935,-160.17735565400628
47,47-27,38431093.60452889,3738412.4606982935,-127.24301742295178
48,48-28,38431492.49219749,3738309.4923991873,-174.35241445463552
49,49-29,38431055.99657542,3737589.420553101,-146.90129145157152
50,50-30,38431339.078161456,3738348.9159114943,-125.57391270287533
51,51-31,38430550.683990166,3739151.3531859796,-152.00916635768243
52,52-32,38431248.91971269,3739207.2196491202,-162.9519173227022
53,53-33,38431077.30887083,3738329.018279867,-154.7239829316672
54,54-34,38430486.53831923,3737591.3196858875,-115.5339552743794
55,55-35,38431282.63186148,3737215.704129472,-158.21677989053794
56,56-36,38430156.316427566,3739130.0446798843,-196.21152178443117
57,57-37,38431285.42952346,3737329.049957428,-132.5365016764631
58,58-38,38431041.03931114,3738881.341073937,-166.88465384550233
59,59-39,38431468.861163035,3738095.2387176408,-190.75922338430274
60,60-40,38431052.95488225,3738945.9523687977,-115.55776012166027
61,61-41,38431320.80124008,3738240.1804831927,-164.79367154829794
62,62-42,38431085.26559994,3737434.287543517,-111.11780781394089
63,63-43,38430476.039437264,3738235.902418997,-195.46726690033097
64,64-44,38430092.22582688,3737909.514332221,-146.8022436558912
65,65-45,38430323.37840014,3738203.5060905223,-158.25814083011645
66,66-46,38430530.1982436,3739063.5858263858,-134.3712140922631
67,67-47,38431312.99931041,3738344.0561020705,-181.21194414887918
68,68-48,38430413.43824781,3737094.108572254,-165.8776005216926
69,69-49,38430663.402167924,3737186.1059627044,-194.6154724452542
70,70-50,38431291.53706501,3738354.598447978,-185.79425916826702
71,71-51,38430145.20695285,3738736.9959720173,-122.55696732208094
72,72-52,38430083.05112538,3737016.4693965144,-188.40263097156824
73,73-53,38431090.73877917,3738933.894075165,-196.84709193378677
74,74-54,38431349.124637395,3738875.8554728734,-200.49044559360456
75,75-55,38431401.886314794,3737136.132739969,-115.85978530640266
76,76-56,38431494.37844226,3738103.152453382,-159.49453085864548
77,77-57,38430467.38107959,3738723.102877399,-143.00893021059133
78,78-58,38430556.874368116,3737525.5972475433,-163.80968254677964
79,79-59,38430730.84348961,3738838.7387352986,-133.0974537807063
80,80-60,38430858.532823056,3738847.193097004,-190.37945172166016
81,81-61,38430659.587461375,3738779.447043049,-167.4955598980429
82,82-62,38431176.38116915,3737722.976817168,-154.0775756727543
83,83-63,38431395.000870734,3738441.116698872,-171.58235006259235
84,84-64,38431489.7840279,3738592.0859905328,-179.96292765936863
85,85-65,38431035.527353756,3737989.157787745,-157.97980938181078
86,86-66,38430989.03133159,3737503.7040340337,-148.4476910656813
87,87-67,38431090.0652812,3737545.0022996357,-134.00583382270216
88,88-68,38431396.28695763,3739020.0074789394,-153.5814322318853
89,89-69,38430338.7270611,3737003.845180878,-145.8706034661603
90,90-70,38430775.71184512,3737835.0883763866,-156.4706478817368
91,91-71,38430339.484009825,3738299.787482754,-192.83824019514262
92,92-72,38430874.33010583,3737425.6556457607,-135.9415636151903
93,93-73,38430228.367420256,3737024.9440009673,-180.98562625380887
94,94-74,38431487.01561731,3737226.204887108,-139.05076590851525
95,95-75,38430450.74653336,3738785.5403068224,-157.247547292484
96,96-76,38430854.16661262,3738954.363614679,-164.86190232170318
97,97-77,38430633.377822824,3738429.0002725646,-193.52111473556465
98,98-78,38430444.78897572,3737772.7329347166,-137.979994180177
99,99-79,38430216.64593356,3737414.7236243784,-111.44262823118588
